age,family_size,dependents,monthly_income,total_savings,property_value,has_disability,medical_severity,employment_status,label
71,2,0,24733,594507,0,0,10,Retired,0
45,5,2,23355,386923,0,0,2,Employed,0
32,4,0,33869,1433389,0,0,1,Retired,0
66,1,0,32548,483775,0,0,9,Unemployed,0
33,2,1,29460,716760,0,0,8,Employed,0
49,4,1,9286,794725,0,0,5,Unemployed,1
22,4,3,16797,1406636,0,1,1,Employed,1
40,2,0,43133,247258,0,1,4,Student,0
24,7,1,17271,364868,1943641,0,1,Employed,0
24,7,3,11055,1402400,0,0,8,Employed,1
57,5,4,44983,202270,0,0,6,Employed,0
61,7,5,20314,291519,2441408,0,2,Employed,0
47,3,0,31888,1267877,0,0,4,Student,0
21,8,1,3250,16853,0,0,2,Employed,1
66,8,0,34208,892180,0,0,0,Student,0
21,8,6,9342,262712,0,0,1,Student,1
60,8,3,14169,1150087,0,0,3,Student,1
23,7,6,31511,697647,1574751,0,6,Retired,0
57,3,1,35720,627101,0,0,10,Unemployed,0
77,7,6,30259,891995,0,0,2,Student,0
18,2,1,9634,271574,2398482,0,1,Retired,0
52,4,2,11237,385238,1186944,0,0,Unemployed,1
49,3,1,25367,729022,0,0,1,Student,0
27,8,0,22560,298195,0,0,1,Retired,0
76,3,2,7882,720210,0,0,1,Unemployed,1
20,1,0,7081,887957,0,0,9,Student,0
45,3,0,11427,429630,0,0,7,Employed,0
75,2,0,13703,185378,0,1,4,Unemployed,1
53,1,0,16755,918048,0,0,7,Employed,0
37,5,3,2926,1385903,2425718,0,8,Employed,0
85,1,0,27914,822013,0,0,10,Unemployed,0
56,6,0,6130,757865,1146754,1,6,Employed,1
23,7,5,6887,559135,0,0,10,Unemployed,1
39,2,0,38658,1417395,0,0,9,Unemployed,0
48,4,2,37662,716530,0,0,9,Retired,0
35,7,2,5764,1305675,2646058,0,9,Unemployed,0
45,3,1,43038,1419750,0,0,7,Unemployed,0
44,3,0,44161,352236,0,0,4,Unemployed,0
20,5,1,8190,212595,0,0,9,Employed,0
21,4,2,37640,82476,2659357,0,1,Retired,0
70,7,1,17011,170917,0,0,8,Retired,0
56,7,0,34525,39416,0,0,2,Unemployed,0
64,2,1,13917,1463075,0,1,0,Employed,1
51,6,3,30726,1381576,1545268,0,10,Retired,0
34,7,1,26869,1386402,2801451,0,8,Student,0
70,4,2,25144,948991,0,0,3,Employed,0
